Keyword,search_volume,competition,cpc,month01,month02,month03,month04,month05,month06,month07,month08,month09,month10,month11,month12
classical music concerts,3600,0.62,1.25,350,320,310,280,260,240,290,320,350,370,380,330
beethoven symphony tickets,2800,0.58,1.35,260,240,230,210,190,180,210,240,270,290,300,270
opera house events,4200,0.71,1.82,400,370,360,330,310,290,340,370,400,420,430,380
mozart concert 2023,5100,0.75,1.65,450,420,410,380,360,340,390,420,450,470,480,430
philharmonic orchestra schedule,3200,0.59,1.28,310,280,270,240,220,200,250,280,310,330,340,290
buy symphony tickets,4800,0.82,2.10,430,400,390,360,340,320,370,400,430,450,460,410
vienna philharmonic tour,2100,0.55,1.15,190,170,160,130,110,90,140,170,200,220,230,180
best classical concerts near me,3900,0.79,1.95,370,340,330,300,280,260,310,340,370,390,400,350
how to dress for opera,1800,0.41,0.92,160,140,130,100,80,60,110,140,170,190,200,150
compare symphony orchestra tickets,1500,0.48,1.05,130,110,100,70,50,30,80,110,140,160,170,120
what is chamber music,2700,0.39,0.85,250,230,220,190,170,150,200,230,260,280,290,240
bach concert series,1900,0.52,1.18,170,150,140,110,90,70,120,150,180,200,210,160
orchestra seating guide,2200,0.44,0.98,200,180,170,140,120,100,150,180,210,230,240,190
classical music festival 2023,4500,0.68,1.72,420,390,380,350,330,310,360,390,420,440,450,400
where to buy philharmonic tickets,2600,0.76,1.85,240,220,210,180,160,140,190,220,250,270,280,230
string quartet performances,1700,0.49,1.08,150,130,120,90,70,50,100,130,160,180,190,140
classical music for beginners,3300,0.38,0.78,310,290,280,250,230,210,260,290,320,340,350,300
opera tickets discount,2900,0.73,1.62,270,250,240,210,190,170,220,250,280,300,310,260
royal opera house schedule,3100,0.61,1.32,290,270,260,230,210,190,240,270,300,320,330,280
best seats for symphony orchestra,2000,0.53,1.22,180,160,150,120,100,80,130,160,190,210,220,170
conductor masterclass,1200,0.35,0.75,100,80,70,40,20,0,50,80,110,130,140,90
tchaikovsky concert review,1400,0.42,0.88,120,100,90,60,40,20,70,100,130,150,160,110
symphony orchestra auditions,1600,0.46,0.95,140,120,110,80,60,40,90,120,150,170,180,130
how to appreciate classical music,2400,0.37,0.82,220,200,190,160,140,120,170,200,230,250,260,210
piano recital tickets,2300,0.57,1.28,210,190,180,150,130,110,160,190,220,240,250,200
violin concerto performance,1800,0.51,1.15,160,140,130,100,80,60,110,140,170,190,200,150
opera singer masterclass,1300,0.47,1.02,110,90,80,50,30,10,60,90,120,140,150,100
symphony vs philharmonic orchestra,2500,0.36,0.72,230,210,200,170,150,130,180,210,240,260,270,220
classical music streaming service,3700,0.65,1.45,350,330,320,290,270,250,300,330,360,380,390,340
chamber music society events,1700,0.45,0.98,150,130,120,90,70,50,100,130,160,180,190,140
